C1:1
C10:1
C11:1
C12:1
C13:1
C14:1
C15:1
C16:1
C17:1
C18:1
C19:1
C2:1
C20:1
C21:1
C22:1
C23:1
C24:1
C25:1
C26:1
C27:1
C3:1
C31:1
C32:1
C33:1
C34:1
C35:1
C38:1
C4:1
C5:1
C6:1
C7:1
C8:1
C9:1
D1:1
D2:1
FB1:1
FB2:1
H1:1
H2:1
J2:1
JP1:1
JP2:1
LED1:1
LED10:1
LED11:1
LED12:1
LED13:1
LED2:1
LED3:1
LED4:1
LED5:1
LED6:1
LED7:1
LED8:1
LED9:1
Q1:1
R1:1
R10:1
R11:1
R12:1
R13:1
R2:1
R4:1
R5:1
R6:1
R7:1
R9:1
SPK1:1
SW1:1
SW2:1
U1:1
U2:1
U4:1
U6:1
U7:1
USB1:1
kibuzzard-64FAFBDA:1
kibuzzard-64FAFBE9:1
